source,target
9708374,9612376
9602378,9511385
203120,9703278
105027,9909250
211012,204202
9808245,9802304
4065,9512332
9810278,9611206
111144,2046
9906224,9801375
11292,9801219
9604406,9410283
7357,1177
9806424,9411372
109077,9511397
202178,6262
301176,9902273
9411278,9309310
9512398,9209232
9802363,9711489
101081,9711280
107068,9808455
9501351,9306212
9711308,9601310
10040,9811253
9705372,9603264
9807392,9412327
9812360,9602295
106177,9903282
9708432,9307261
204315,104091
105171,9205228
9709270,9504204
203056,6122
9911429,9703353
301257,9903481
2065,9801330
4176,9803473
9110,9603202
9903366,9704423
9710462,9705221
9806301,9710335
9502318,9405429
9909229,9503330
9707234,9607341
9905468,9708352
108172,9807310
107006,9608352
211467,107081
301075,9912266
9708339,9704355
210066,202269
210104,9408344
9809403,9710443
9810549,9806303
108206,9306207
210317,108240
9608221,9403307
9910392,9512388
11271,9707284
12269,9512380
9611217,9502397
9902358,9807305
9809517,9603420
9808360,9511315
106082,9712307
102066,7092
9809370,9708491
9605385,9602404
3134,9210253
12017,2149
109149,104122
6245,9307242
104115,9401219
9902274,9408214
9305316,9207253
9608477,9507299
302102,212020
9707458,9702378
202257,104041
107325,9906206
9802334,9310320
9709301,9602364
208043,9809435
212320,9706273
9701278,9303284
106203,9701238
202076,9906233
5136,9408384
301033,9812201
11074,9802387
3032,9712222
210286,9703442
208237,9503266
210188,106247
203069,9709395
9705237,9411258
108145,9810408
9702431,9501298
212270,212212
9319,9812260
6137,9812273
9810252,9806287
9507446,9310319
111080,2001
209222,204286
9805227,9509263
9908433,9908289
9702295,9606467
209208,9704423
9706504,9603400
9262,9306306
9908389,9405237
9707395,9511288
9705248,9703266
8018,9307218
8224,9606280
9803278,9712551
9706337,9305304
110325,9803389
5136,9510204
9901387,9611258
103331,9903385
9708333,9307269
9503395,9502345
212391,111047
9603346,9307201
9904315,9610400
103030,9805420
9707201,9504307
9712481,9607332
205031,9307356
7139,6049
103064,103012
209341,7108
9324,9906475
110341,104034
9810435,9808270
202240,6200
7017,9706260
109119,105303
9708250,9603310
109125,9911370
104110,103211
9311282,9304269
9706462,9705240
9711288,9608323
1002,9503443
9806310,9408215
201146,103217
211335,9612424
9906335,9207221
9801451,9705386
106050,9501281
204031,9704448
5185,9712542
9701280,9508393
9912447,9612260
201186,108157
9311259,9304281
207349,7355
202240,103219
209119,9212271
9506287,9408219
9605378,9401238
208229,9503205
7220,9712254
9802299,9411338
106278,9506425
9511230,9510352
9809497,9506270
9606308,9606239
9906245,9511463
9906488,9903441
9810481,9806439
9411359,9303248
211080,7294
1134,9904278
9810512,9412305
210414,203212
9705281,9509322
206130,9903358
9403330,9401238
9908372,9905337
9407226,9403254
9606447,9604343
9810441,9408346
9805480,9510213
9805484,9803382
9710488,9407339
9703250,9612426
3033,9703463
9705356,9609357
9909274,9802218
209263,207015
9601222,9508338
9711253,9612479
9803440,9801431
9910516,9712537
9911478,9906218
9903502,9810509
211360,201071
9902360,9406287
110126,9911421
9709454,9609460
9805461,9612495
9904380,9811501
9810323,9805250
8280,9903246
9807449,9507299
9907460,9605235
204062,9411290
12170,9904296
9902452,9609302
9912359,9412334
102058,9811308
9908217,9710367
9409292,9408312
9312231,9212285
9704376,9507267
9510323,9507262
10174,9902256
210053,9909248
211011,11385
6233,9911289
9601269,9207269
9702260,9303241
11078,5274
211453,202049
2047,9411302
210241,206272
204160,9610394
9703327,9610345
9605268,9507424
103058,3246
9911272,9608276
9803479,9701393
105037,103182
9906378,9402231
9906549,9811428
3033,9611397
9911250,9704376
207233,6212
106278,7190
9903328,9712222
9709454,9607309
9356,8012
302054,110001
9406264,9302233
9281,3105
9601372,9510327
9910257,9806471
9806471,9507262
107127,9510284
9803426,9705245
9904475,9703349
212346,9802204
9610219,7149
108144,9405425
211197,9501281
9802426,9702339
9701421,9503450
207261,9410240
9512374,9302246
9804237,9610247
206276,9904395
9604376,9503208
107180,105325
207005,9403400
12348,9911476
109154,102187
9609396,9211237
210005,9304225
1246,9901337
9804283,9504406
9606280,9310257
6299,9704415
9606440,9509393
302073,104200
9906383,9301232
9711327,9407338
12346,9707342
206148,9808410
9709463,9505259
9801231,9605456
9810393,9608205
9607397,9505428
9801445,9508343
9605336,9506210
7242,9612313
205104,9909435
112209,11055
6054,9509361
9905388,9610229
207031,9807513
9611389,9409285
208025,9905291
210198,204166
101249,9810457
9907255,9903448
11069,9401328
9811460,9805343
9801431,9302316
9904276,9806279
104280,9602281
9812449,9409455
5123,9802238
7320,5303
9711472,9405377
9912284,9901331
210287,205097
9704402,9701231
9407254,9404342
9903472,9503438
106107,9802445
207041,9802358
9804231,9709292
9907236,9906377
9406239,9302244
212246,9701364
9906493,9906286
105028,9709356
209135,9410237
6067,9703327
212194,9907432
9602267,9408310
207101,101336
9602412,9502279
9707496,9406407
104062,9711217
302006,204004
9911321,9702337
203237,203051
9901284,9605456
9906456,9903454
9710542,9602351
204240,102344
9907296,9902312
102051,9511272
208125,107057
9810260,9708356
9811466,9807241
301107,202202
9712480,9509349
2157,9508347
7261,9509286
106203,104111
205292,9905487
9907365,9303270
206216,202270
203271,104033
9710379,9504277
9908208,9811350
9909489,9812448
111128,9708488
9904301,9612442
9908243,9907286
9908244,9504379
9308314,9207242
9910466,9807209
9809533,9809341
9712325,9606219
9903264,9703379
302038,212175
9504276,9406359
107278,105063
5044,9701227
109051,9811275
5303,9908326
9909425,9811390
9707299,9702344
2215,9512220
8008,9911233
9704276,9501379
107305,9308336
201142,2267
9703448,9403390
11132,9804398
9805356,9507319
211169,9302225
9410321,9310379
9909235,9412334
8091,9902338
6209,9806404
9909405,9704326
9805482,9407291
202101,111058
3139,9904297
207010,9404276
106111,9508280
205076,105260
9909457,9806442
211117,111053
210088,208141
9503241,9407304
11005,9803366
9157,9904394
9510362,9502213
9812377,9606233
9910397,9803445
9804319,9410406
104082,9901331
212092,207070
9609475,9512369
9812332,9811313
109217,9801271
209280,2044
9810241,9609379
12308,9501265
210093,2060
9506444,9411353
9910395,9705442
103182,103054
2242,9912366
5244,9606295
9408294,9208221
111065,9510309
9704267,9310261
112023,9610456
9406323,9403353
110046,9910550
201291,9904247
110038,108179
7204,9608266
